"","x"
"757","It is all our jobs to protect all our children -- period. And yes, it was good that Penn State stood up for Mr. Sandusky's alleged victims Saturday. But sometimes, doing the right thing belatedly is the same as not doing it at all."
"758","Nothing has been crazier than all the scrutiny and attention Coyotes agitator Raffi Torres' dirty head hit on Hawks star winger Marian Hossa in Game 4 has gotten."
"759","""Eyes of Justice"" is the fourth in the New York Times-bestselling series I co-write with Lis Wiehl that features an FBI agent, a TV reporter, and a federal prosecutor. It's hard to talk about the plot too much without giving away a big spoiler, but a major character is killed in the book. Publishers Weekly says it's ""Shocking, fast-paced."""
"760","In their race for the cloud, tech companies are leaving a trail of pollution from dirty energy sources, Greenpeace said Tuesday in a report that accused some of the world's biggest tech companies of failing to make clean energy a priority."
"761","Ilya Sheyman of Waukegan raised $180,333 in the last three months of 2011 and reported $206,770 in cash on hand to start the year."
"762","In its first year, Green Works saved 5,000 tons of industrial metal, light fixtures and wiring from polluting landfills."
"763","Piatek and the others were indicted by a Gloucester County grand jury on May 4, 2011."
"764","The Food and Drug Administration announced that the U.S. distributor of Nuclear Sludge chew bars is recalling the candy because of lead contamination. No one has been sickened, but the FDA said elevated lead content could be harmful to small children, infants and pregnant women."
"765","Ciocco, who said in a letter to the editor that he was still haunted by Montelaro's killing, has similarly testified against Righetti's release."
"766","""This investment reflects the growing demand for fuel-efficient vehicles, such as the Chevrolet Cruze, Volt and the all-new Sonic,"" GM Manufacturing Manager Arvin Jones said in a written statement. ""The products produced here will help our customers deal with rising fuel prices."""
"767","Christie arrived in Cincinnati under overcast skies and went right to a high-end fundraiser in the wealthy Cincinnati suburb of Indian Hill. The event was held at the home of Geraldine Warner, a major GOP donor who has contributed $225,000 to Republican causes in the last 10 years, including $25,000 in April to the Republican Governors Association, which helped put Christie over the top last year when he challenged incumbent Democratic Gov. Jon Corzine. The fundraiser was closed to the public and press and the drive to Warner's home was blocked by a local police car."
"768","Ryan and other politicians tend not to subtract the $1 trillion when mentioning the infrastructure deficit, a point of clarification. But the American Society of Civil Engineers also told PolitiFact that the numbers don't account for flooding and other calamities that have weakened or destroyed infrastructure since the 2009 study was released, and that the $2.2 trillion need probably has not gone down."
"769","Brad Mehldau Trio"
"770","This is the first time in club history the Indians have been 5-0 following the All-Star break. The five-game winning streak equals their longest of the season."
"771","The search for victims intensified at daylight Friday as teams with 12 cadaver dogs combed through Crestmoor Canyon, with the fire all but contained."
"772","JOHANNESBURG - South African wildlife officials say a delivery truck driver who was going too fast slammed into a herd of impala, leaving seven dead antelope strewn along a road in the country's flagship Kruger National Park."
"773","Police are keeping the investigation open to see if more victims of Guerra Guadron come forward."
